acid,epoxide,tg
COc1ccc(CCCNC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COc1ccc(C(=O)N(C)Cc2cccc(OCC3CO3)n2)c(OCC2CO2)c1,372.3849973999249
CC(CCN(CCC(=O)O)CCC(=O)O)c1ccccc1,Cc1cc(OCC2CO2)nc2cc(C(=O)Nc3ccc(OCC4CO4)c4ccccc34)ccc12,354.9298264465297
O=C(O)CCC(CCC(=O)O)C(=O)NCC(=O)Nc1cccc2ccccc12,COC(=O)c1cccc(C=CC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)c1,403.9191105427085
Cn1ccc(CCNC(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)n1,O=C(Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1)c1cccc(O)n1,406.2672009116555
CN(C)c1cccnc1C(=O)N(CCC(=O)O)CCC(=O)O,O=C(Cc1ccc(OCC2CO2)cc1)N1CCN(CCC2CO2)CC1,378.77590860743356
COc1ccccc1N(CCO)CC(=O)N(CCC(=O)O)CCC(=O)O,COc1cccc(CN(C)C(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)c1,344.13248797217256
O=C(O)CCN1CCCN(C(=O)CC2(CC(=O)O)CCCCC2)CC1,Cc1cc(OCC2CO2)ccc1NC(=O)c1ccccc1OCC1CO1,405.8221961656635
Nc1c(C(=O)Nc2ccc(COCC(=O)O)c(COCC(=O)O)c2)cnn1Cc1ccccc1,Cc1ccc(C(=O)NCCC(=O)NCCCc2ccc(OCC3CO3)cc2)c(OCC2CO2)c1,374.9778650875723
Cc1cc(CNC(=O)C(CCC(=O)O)CCC(=O)O)on1,C(CCN1CCN(CCCCC2CO2)CC1)CC1CO1,308.819368859927
CC(Cc1ccc(NC(=O)NC2CCC(C(=O)O)CC2)cc1)C(=O)O,CCCN(CCOCC1CO1)Cc1ccc(COCC2CO2)cc1,356.4281185295467
O=C(O)CCN(CCC(=O)O)C(=O)c1cccc(Cn2ccnc2)c1,Cc1cc(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)ccc1N1CCCC1,368.74404400442165
O=C(O)COCc1ccc(NC(=O)CCCc2ccccn2)cc1COCC(=O)O,CCOc1ccc(OCC)c(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,349.8209872392347
O=C(O)CCOc1cccc(NC(=O)C(=O)NC2CCN(CCC(=O)O)CC2)c1,Cn1c(CCC(=O)OCC(=O)N(CC2CO2)CC2CO2)nc2ccccc2c1=O,370.4138270770738
Cc1cc(CN(CCOCCOCC(=O)O)CCOCC(=O)O)c2ccccc2n1,O=C(NC1CCC(C(=O)N(CC2CO2)CC2CO2)CC1)C1CCCC1,329.5658343748027
CC(=O)Nc1cccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)c1C,CCNC(=O)CN1CCN(C(=O)c2ccc3ccc(OCC4CO4)cc3c2OCC2CO2)CC1,367.1422190609308
O=C(O)COCCCCCCn1cc(CCOCC(=O)O)cn1,O=C(CC1CCCC1)NCCNC(=O)c1c(OCC2CO2)cccc1OCC1CO1,348.45981449651805
O=C(O)CCN(CCC(=O)O)C(=O)CCC(=O)N1CCC(O)CC1,Cc1ccc(CN(C(=O)COC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)C2CC2)cc1,354.19861708451026
Cc1ccncc1C=CC(=O)N(CCC(=O)O)CCC(=O)O,CNC(=O)c1ccc(OC)c(NC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1,411.62905309808093
O=C(O)CCCNC1CC(CNC(=O)COCCCC(=O)O)C1,CCN(C)C(=O)c1cccc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,342.5486741604314
O=C(O)CCN(CC(=O)O)C(=O)c1ccc(C2CC2)cc1,COCCOc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,299.9608681512459
O=C(O)COCC(COCC(=O)O)NC(=O)c1ccc2ccccc2c1,Cc1cc(C)cc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,362.59084340824074
