acid,epoxide,tg
COCCOc1cc(NC(=O)N(CCOCC(=O)O)CCOCC(=O)O)ccc1OC,NC(=O)C1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1,364.4072
Cc1cccc(CCCN(CCOCC(=O)O)CCOCC(=O)O)c1,CCOCCC(=O)Nc1cc(COCC2CO2)cc(COCC2CO2)c1,296.5736
CN(C)c1ccc(CNc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)cc1,O=C(Nc1ccccc1C(=O)N1CCOCC1)C(CC1CO1)CC1CO1,395.1898
COCCCN(CCOCC(=O)O)C(=O)Cc1ccccc1COCC(=O)O,CN(CCC1CO1)C(=O)C(=O)Nc1ccc(C(=O)NCC2CO2)cc1,382.7050
Cc1c(N=Cc2ccccc2OCc2ccc(C(=O)O)cc2)cccc1C(=O)O,CC(=O)Nc1cccc(NC(=O)c2ccc(C)c(OCC3CO3)c2OCC2CO2)c1C,426.2668
CCN(C(=O)COCCCC(=O)O)C1CN(C(=O)CCCC(=O)O)C1,Cc1cc(NC(=O)CCCC2CO2)ccc1NC(=O)CCCC1CO1,331.8200
CCCOCC(=O)Nc1cc(COCC(=O)O)cc(COCC(=O)O)c1,Cc1cccc(OCCCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,350.7911
O=C(O)c1ccc(CCNCc2cc(C(=O)O)c3n2CCCC3)cc1,O=C(c1ccc(OCC2CO2)cc1)N1CCCN(CCCC2CO2)CC1,371.0906
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)C(=O)NCCc2ccncc2)cc1,Cc1cc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)ccc1N(C)C,360.4469
O=C(O)COCc1cc(COCC(=O)O)cc(NC(=O)c2ccccc2OC2CCCCC2)c1,COc1ccc(NC(=O)C(=O)NC(COCC2CO2)COCC2CO2)cc1,352.6456
O=C(O)COCC(COCC(=O)O)NC(=O)NCCCN1CCN(c2ccccc2)CC1,COc1ccc2c(c1)CCN(C(=O)C=Cc1ccc(OCC3CO3)c(OCC3CO3)c1)CC2,363.7375
O=C(O)CCN(CCCCCCO)CCC(=O)O,COc1ccc(CNCc2ccc3ccccc3c2OCC2CO2)c(OCC2CO2)c1,323.1512
CC1(NC(=O)CCCCC(=O)O)CCN(CCC(=O)O)CC1,O=C(CC1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1)NC1CCCC1,323.6784
COc1cc(CNCCCC(C(=O)O)C(=O)O)cc2c1OCO2,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)c1ccc(N2CCCC2)nn1,380.6215
O=C(O)CCOCC(=O)NCc1ccc2c(c1)CN(C(=O)COCCC(=O)O)C2,O=C(OCCOCC1CO1)c1ccccc1NCCOCC1CO1,352.9540
O=C(O)COCc1ccc(CNc2ccc(N3CCC(COCC(=O)O)CC3)cn2)cc1,Cn1cc(CCNC(=O)N(CC2CO2)CC2CO2)c2ccccc21,371.2133
Cc1cccc2c1N(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2,COc1cc(CN2Cc3ccc(OCC4CO4)cc3C2)c(OCC2CO2)cc1OC,340.8283
COc1ncc(C)cc1NC(=O)N(CCC(=O)O)CCC(=O)O,Cc1cc(C)n(CCOC(=O)c2cc(OCC3CO3)cc(OCC3CO3)c2)n1,368.8835
NC(=O)COc1cccc(NC(=O)C(CCC(=O)O)CCC(=O)O)c1,CCOC(=O)C(N)Cc1ccc(OCC2CO2)c(OCC2CO2)c1,387.0873
CC(C)OCC(=O)NCCCNCC(=O)N(CCC(=O)O)CCC(=O)O,Cc1ccccc1CC(=O)N1CCN(CC(=O)N(CC2CO2)CC2CO2)CC1,334.5239
Cn1nc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)ccc1=O,COc1cccc(C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)c1OC,423.5838
O=C(O)CCN(CCC(=O)O)CC(=O)NCC1(c2ccccc2)CCOCC1,Cc1ccc(C(=O)NCc2cccc(C(=O)N(C)C)c2)c(OCC2CO2)c1OCC1CO1,379.1042
COc1cccc(C(=O)N(CCC(=O)O)CCC(=O)O)c1OC,Cc1ccc(C(=O)Nc2ccccc2OC(C)C)c(OCC2CO2)c1OCC1CO1,371.0794
O=C(O)COCC(COCC(=O)O)NCc1ccc(OCCN2CCOCC2)cc1,COc1cccc(OCCN2CCN(C(=O)C(=O)N(CC3CO3)CC3CO3)CC2)c1,308.3687
CC(C)(COCC(=O)O)NCc1ccc(OCCOCC(=O)O)cc1,CCOC(=O)CCNC(=O)c1ccc(C)c(OCC2CO2)c1OCC1CO1,328.4008
O=C(O)COCC1(COCC(=O)O)CCN(Cc2ccccc2OCc2ccccc2)CC1,Cc1ccc(NC(=O)C(CC2CO2)CC2CO2)c(C)c1,371.6904
CC(C)(C)Oc1ccccc1NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O,O=C(NCCOCC1CO1)Nc1ccc(COCC2CO2)cc1,374.0958
COc1ccc(NC(=O)c2cc(C(=O)O)ccc2C(=O)O)c(OC)c1,CCc1cccc(NC(=O)CN(CCOCC2CO2)CCOCC2CO2)c1,385.1625
CC(C)(N)CCC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,CNC(=O)c1ccc(OC)c(NC(=O)C(CC2CO2)CC2CO2)c1,413.1340
O=C(O)CCC(CCC(=O)O)C(=O)Oc1ccc(N2CCCC2)cc1,N#Cc1cc(OCC2CO2)cc(C(=O)N2CCN(C(=O)c3ccccc3OCC3CO3)CC2)c1,395.5648
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccc2c(c1)CC(=O)N2,O=C(NC(COCC1CO1)C(=O)O)c1ccc(OCC2CO2)cc1,438.2020
CC(C)Cc1ccc(C(CC(=O)O)C(=O)O)cc1,O=C(CCCC1CO1)NCC1CCN(CC(=O)NCC2CO2)CC1,355.6861
CC(CCNC(=O)c1ccc(OCCC(=O)O)cc1)NC(=O)CCCC(=O)O,O=C(c1ccc(OCC2CO2)cc1)C1CCN(C(=O)CCCCc2cccc(OCC3CO3)c2)CC1,370.2911
O=C(O)CCN(CCC(=O)O)Cc1cccn1C1CC1,NN=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,308.4417
O=C(O)c1cc(NC(=O)C2CCCCC2)cc(C(=O)O)c1,Cc1ccc(COCC2CO2)cc1NC(=O)c1ccc(CN2CCC(COCC3CO3)CC2)cc1,404.0222
CC(=O)Nc1ccc(C)cc1OCC(=O)N(CCC(=O)O)CCC(=O)O,O=C(C=Cc1ccc(OCC2CO2)cc1)NCc1cccc(OCC2CO2)c1,381.3606
Cn1cc(CCN2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)cn1,O=C(NC(Cc1ccccc1)C(=O)N1CCCC1)c1ccc(OCC2CO2)cc1OCC1CO1,371.2403
COc1ccc(CNC(=O)C(CCC(=O)O)CCC(=O)O)c(OC)c1OC,O=C(COCC1CO1)N1CCC(CNCCCC2CO2)CC1,317.9300
O=C(O)CCNC(=O)CNC(=O)N1CCC(O)(CCC(=O)O)CC1,Cc1ccc(CN(C)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)nc1,425.9321
CCCCc1ccc(NC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,CCn1cc(NCc2ccc(OCC3CO3)cc2OCC2CO2)cn1,342.5050
O=C(O)COCC(COCC(=O)O)NC(=O)Nc1cccc(NC(=O)c2ccccc2)c1,O=C(NCc1ccncc1)c1c(OCC2CO2)cccc1OCC1CO1,412.5370
CCN(CCCO)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(CC(=O)N2CCc3c(cccc3OCC3CO3)C2)cc1OCC1CO1,383.2158
CCN(CC1CCN(C(=O)CCCCC(=O)O)CC1)C(=O)CCCC(=O)O,CN(C)Cc1cccc(NC(=O)C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,351.7499
CC(C)NC(=O)CCNC(=O)C(CCC(=O)O)CCC(=O)O,Cc1ccc(C(=O)NCC(=O)N2CCCCC2)c(OCC2CO2)c1OCC1CO1,377.2636
COc1cc(Oc2ccccc2)ccc1NC(=O)C(=O)N(CCOCC(=O)O)CCOCC(=O)O,COc1ccccc1N1CCN(CC(=O)c2ccc(OCC3CO3)c(OCC3CO3)c2)CC1,361.1550
CC(C)CN(CC(C)(C)C(=O)O)C(=O)c1cccc(OCC(=O)O)c1,Cc1ccc(OCCNC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c(C)c1,371.8279
COc1ccc(CN(CCC(=O)O)C(=O)COCCCC(=O)O)cc1,c1ccc(OCCOc2ccccc2OCCOCC2CO2)c(OCCOCC2CO2)c1,297.3587
CCNC(=O)c1cccc(NC(=O)CNC(COCC(=O)O)COCC(=O)O)c1,O=C(Nc1ccc(COCCO)cc1)C(CC1CO1)CC1CO1,379.7481
Cc1cccc(NC(=O)CN2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)c1C,CC(=O)Nc1c(C)ccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1C,377.6667
COc1ccc(NC(=O)NC2(CC(=O)O)CCC2)c(C(=O)O)c1,O=C(COCCC1CO1)NCCCCC1CO1,361.3029
